nombre_empleado;edad;departamento;salud;dinero;familia;amor
Sebastián Gómez;20;Producción;13%;23%;12%;17%
Mariana Ramírez;48;Logística;6%;19%;1%;16%
Andrea Torres;59;Ventas;16%;9%;22%;13%
Valentina Fernández;59;Recursos Humanos;25%;20%;25%;1%
Carlos Martínez;22;Finanzas;23%;21%;18%;13%
Camila Pérez;43;Producción;17%;6%;19%;12%
Camila Martínez;23;Compras;7%;10%;22%;1%
Pedro López;63;Ventas;21%;15%;1%;16%
Sebastián Martínez;19;Sistemas;24%;11%;13%;10%
Luis Arango;63;Ventas;12%;17%;5%;6%
Andrea Gómez;41;Marketing;9%;15%;25%;20%
Sebastián Torres;21;Ventas;25%;4%;8%;11%
Mariana Martínez;65;Marketing;6%;13%;7%;11%
Carlos Pérez;35;Producción;12%;10%;22%;9%
Carlos Fernández;19;Recursos Humanos;17%;20%;25%;3%
Mariana Pérez;25;Recursos Humanos;10%;10%;11%;6%
Andrea Sánchez;23;Marketing;21%;1%;17%;13%
Laura Torres;29;Ventas;25%;20%;10%;17%
Sebastián Torres;31;Finanzas;11%;14%;10%;22%
Andrea Arango;36;Producción;4%;2%;11%;5%
Carlos Ramírez;33;Compras;20%;12%;21%;6%
Mariana López;65;Recursos Humanos;18%;14%;24%;12%
Pedro Torres;45;Recursos Humanos;11%;5%;14%;19%
Luis Fernández;60;Logística;7%;21%;22%;12%
Sebastián Torres;27;Recursos Humanos;3%;18%;4%;3%
Carlos Rodríguez;49;Compras;8%;21%;22%;6%
Carlos Rodríguez;24;Marketing;2%;23%;9%;2%
Andrea Pérez;24;Sistemas;2%;3%;3%;19%
Carlos Fernández;56;Recursos Humanos;11%;5%;21%;25%
Juan Ramírez;23;Producción;24%;25%;25%;20%
Luis Fernández;46;Sistemas;16%;6%;13%;6%
Mariana Pérez;29;Logística;16%;22%;19%;13%
Laura Arango;42;Finanzas;12%;24%;5%;21%
Luis Pérez;51;Marketing;16%;23%;8%;3%
Andrea Pérez;57;Logística;14%;16%;9%;20%
Luis Ramírez;18;Producción;16%;9%;23%;12%
Valentina Martínez;65;Recursos Humanos;18%;14%;12%;11%
Valentina López;42;Finanzas;19%;5%;1%;18%
Juan Arango;52;Sistemas;12%;2%;11%;5%
Pedro Gómez;54;Producción;15%;18%;25%;10%
Andrea Gómez;34;Logística;17%;13%;25%;9%
Mariana Martínez;63;Compras;17%;23%;22%;15%
Mariana Gómez;32;Marketing;13%;1%;14%;12%
Pedro Martínez;37;Marketing;19%;17%;23%;25%
Laura López;27;Finanzas;9%;16%;6%;25%
Andrea Arango;45;Ventas;17%;21%;15%;21%
Laura Rodríguez;56;Marketing;14%;5%;23%;19%
Luis Arango;47;Producción;14%;4%;8%;20%
Laura Rodríguez;50;Recursos Humanos;14%;9%;20%;22%
Pedro López;51;Recursos Humanos;20%;24%;10%;6%
Pedro Ramírez;54;Sistemas;18%;10%;16%;9%
Carlos Torres;54;Ventas;25%;9%;7%;25%
Valentina Martínez;59;Recursos Humanos;6%;18%;18%;25%
Andrea Martínez;25;Sistemas;12%;3%;10%;16%
Juan Ramírez;48;Finanzas;4%;22%;24%;14%
Valentina López;19;Compras;20%;17%;13%;22%
Sebastián Gómez;26;Marketing;14%;1%;25%;22%
Sebastián Gómez;61;Recursos Humanos;6%;12%;15%;22%
Sebastián López;26;Producción;7%;22%;4%;23%
Sebastián Sánchez;65;Marketing;6%;9%;4%;8%
Sebastián Ramírez;45;Compras;10%;1%;6%;2%
Luis Gómez;59;Compras;9%;20%;4%;19%
Carlos Gómez;56;Compras;8%;3%;13%;19%
Pedro Gómez;49;Recursos Humanos;9%;13%;3%;16%
Camila Arango;42;Ventas;9%;15%;20%;1%
Juan Torres;53;Ventas;9%;19%;21%;5%
Camila Ramírez;33;Recursos Humanos;11%;9%;18%;5%
Valentina López;46;Marketing;4%;14%;9%;5%
Sebastián Sánchez;26;Recursos Humanos;5%;22%;23%;10%
Luis Fernández;53;Compras;23%;13%;1%;7%
Andrea Fernández;37;Compras;6%;24%;16%;14%
Laura Rodríguez;40;Marketing;5%;16%;24%;2%
Pedro Fernández;24;Finanzas;1%;3%;22%;14%
Laura Arango;48;Logística;7%;5%;12%;11%
Pedro Fernández;19;Ventas;14%;2%;15%;12%
Luis Ramírez;61;Recursos Humanos;7%;7%;9%;25%
Juan López;48;Logística;13%;20%;25%;21%
Valentina Martínez;34;Producción;15%;4%;15%;11%
Valentina Pérez;64;Finanzas;6%;20%;7%;12%
Pedro Martínez;48;Ventas;24%;1%;18%;17%
Luis Ramírez;26;Recursos Humanos;1%;5%;24%;18%
Sebastián Sánchez;60;Ventas;24%;7%;8%;14%
Carlos Martínez;32;Ventas;14%;12%;6%;19%
Mariana López;64;Compras;20%;21%;24%;18%
Carlos Gómez;60;Producción;11%;8%;16%;20%
Juan Ramírez;40;Marketing;5%;19%;10%;3%
Juan Rodríguez;59;Ventas;11%;3%;18%;22%
Andrea Arango;52;Ventas;20%;22%;22%;7%
Pedro Rodríguez;30;Logística;17%;12%;7%;5%
Camila Arango;22;Logística;4%;17%;8%;3%
Pedro Sánchez;25;Sistemas;8%;1%;17%;4%
Laura Fernández;33;Finanzas;6%;19%;24%;16%
Luis Martínez;20;Marketing;1%;23%;21%;20%
Mariana Ramírez;56;Marketing;3%;11%;22%;21%
Camila Ramírez;62;Ventas;8%;18%;11%;22%
Luis Martínez;52;Ventas;12%;14%;14%;15%
Valentina Sánchez;60;Marketing;11%;22%;17%;14%
Mariana Pérez;26;Finanzas;11%;25%;2%;25%
Laura Pérez;45;Marketing;9%;25%;14%;1%
Pedro Martínez;37;Sistemas;4%;18%;1%;14%
Camila Sánchez;24;Finanzas;5%;15%;22%;8%
Carlos Ramírez;28;Ventas;18%;3%;23%;7%
Pedro Torres;40;Finanzas;18%;20%;16%;13%
Carlos Pérez;43;Finanzas;14%;7%;24%;25%
Carlos Ramírez;56;Finanzas;10%;23%;5%;9%
Andrea Pérez;46;Sistemas;13%;1%;6%;11%
Andrea Ramírez;53;Compras;8%;9%;6%;17%
Sebastián Torres;64;Finanzas;7%;2%;7%;23%
Mariana Gómez;49;Producción;25%;17%;4%;16%
Laura Pérez;28;Producción;9%;2%;1%;9%
Luis Fernández;25;Marketing;12%;14%;9%;18%
Mariana López;58;Marketing;8%;25%;23%;23%
Valentina Sánchez;48;Producción;15%;11%;1%;2%
Laura Pérez;44;Finanzas;12%;16%;15%;5%
Andrea Martínez;46;Ventas;6%;22%;25%;14%
Camila Arango;62;Sistemas;7%;14%;1%;10%
Juan Ramírez;31;Logística;4%;17%;25%;23%
Andrea López;57;Recursos Humanos;2%;18%;2%;14%
Luis Martínez;63;Logística;21%;9%;24%;17%
Luis Fernández;65;Logística;24%;23%;11%;24%
Mariana Rodríguez;43;Recursos Humanos;21%;7%;14%;24%
Luis Gómez;39;Finanzas;19%;7%;9%;22%
Mariana Fernández;63;Finanzas;12%;25%;18%;11%
Camila Rodríguez;22;Sistemas;11%;11%;24%;4%
Mariana Torres;56;Finanzas;7%;2%;2%;21%
Carlos Ramírez;30;Finanzas;4%;13%;19%;5%
Andrea López;39;Finanzas;14%;19%;12%;15%
Sebastián Pérez;24;Compras;24%;5%;4%;8%
Sebastián Martínez;50;Recursos Humanos;15%;2%;14%;2%
Laura Ramírez;46;Logística;20%;9%;15%;10%
Mariana Martínez;44;Recursos Humanos;13%;17%;21%;25%
Camila Ramírez;30;Producción;15%;20%;2%;4%
Carlos Torres;32;Ventas;13%;25%;14%;7%
Valentina López;47;Producción;24%;4%;24%;13%
Camila Pérez;57;Producción;2%;24%;8%;15%
Carlos Martínez;29;Compras;9%;18%;19%;15%
Camila Martínez;42;Ventas;7%;3%;8%;23%
Pedro Sánchez;41;Finanzas;13%;20%;23%;25%
Carlos Martínez;63;Compras;4%;1%;11%;24%
Pedro Gómez;18;Finanzas;7%;10%;10%;25%
Pedro López;38;Recursos Humanos;24%;25%;5%;19%
Sebastián Pérez;37;Sistemas;19%;23%;19%;5%
Laura Martínez;43;Sistemas;19%;24%;21%;21%
Mariana Ramírez;60;Compras;16%;1%;8%;15%
Sebastián Fernández;40;Producción;8%;18%;18%;11%
Luis Rodríguez;35;Producción;15%;19%;22%;5%
Juan Arango;23;Sistemas;12%;21%;21%;10%
Laura Gómez;57;Compras;19%;14%;18%;21%
Mariana Torres;47;Logística;19%;9%;7%;16%
Valentina Torres;50;Sistemas;6%;4%;24%;3%
Luis Gómez;27;Finanzas;19%;4%;22%;8%
Valentina Ramírez;24;Compras;1%;20%;1%;21%
Andrea Arango;41;Logística;8%;23%;13%;15%
Andrea Gómez;50;Logística;6%;5%;22%;16%
Carlos Ramírez;57;Ventas;9%;25%;8%;1%
Carlos López;36;Sistemas;12%;9%;20%;20%
Andrea Pérez;38;Ventas;7%;13%;16%;15%
Luis Arango;48;Sistemas;3%;24%;16%;17%
Mariana Pérez;26;Logística;9%;2%;3%;23%
Juan López;42;Sistemas;20%;23%;1%;1%
Mariana Pérez;56;Compras;24%;7%;4%;23%
Juan Gómez;24;Compras;2%;22%;14%;4%
Andrea Gómez;46;Marketing;12%;25%;23%;1%
Laura Ramírez;60;Logística;13%;17%;9%;8%
Carlos Torres;60;Logística;16%;2%;5%;15%
Andrea Gómez;42;Marketing;13%;15%;6%;16%
Camila López;20;Marketing;4%;20%;17%;17%
Laura Martínez;51;Logística;1%;9%;10%;1%
Laura Ramírez;51;Logística;4%;19%;18%;12%
Laura Ramírez;47;Ventas;25%;5%;23%;16%
Valentina Torres;49;Marketing;17%;18%;18%;22%
Laura Ramírez;61;Finanzas;20%;19%;10%;20%
Sebastián Sánchez;40;Ventas;19%;16%;18%;24%
Valentina Ramírez;57;Compras;4%;14%;23%;22%
Mariana Arango;63;Compras;7%;13%;4%;6%
Laura Fernández;61;Marketing;3%;21%;22%;11%
Valentina Rodríguez;52;Marketing;16%;14%;14%;14%
Luis Gómez;65;Compras;21%;5%;15%;21%
Laura Arango;53;Sistemas;25%;12%;20%;10%
Juan Sánchez;48;Recursos Humanos;19%;12%;2%;4%
Luis Martínez;62;Recursos Humanos;11%;6%;25%;25%
Mariana Ramírez;64;Compras;5%;12%;10%;5%
Andrea Pérez;50;Sistemas;24%;11%;21%;6%
Andrea Arango;33;Sistemas;23%;9%;20%;25%
Luis Pérez;32;Producción;7%;8%;2%;14%
Valentina Gómez;40;Marketing;21%;20%;9%;4%
Pedro Arango;50;Sistemas;23%;9%;11%;5%
Juan Ramírez;40;Finanzas;7%;5%;3%;4%
Camila Sánchez;60;Compras;21%;1%;5%;9%
Carlos Sánchez;42;Producción;17%;13%;6%;24%
Andrea Arango;50;Sistemas;1%;5%;11%;12%
Luis Pérez;45;Producción;10%;8%;5%;22%
Pedro Torres;39;Finanzas;25%;1%;19%;21%
Pedro Fernández;55;Ventas;8%;13%;17%;21%
Luis Gómez;47;Producción;21%;6%;6%;16%
Valentina Sánchez;21;Sistemas;17%;5%;18%;23%
Sebastián Pérez;54;Compras;4%;3%;16%;16%
Camila Torres;56;Compras;1%;1%;16%;1%
Luis Martínez;61;Recursos Humanos;6%;10%;4%;21%
Pedro Gómez;51;Finanzas;10%;21%;1%;18%
Juan Fernández;62;Ventas;6%;11%;1%;17%
Mariana Fernández;62;Marketing;1%;3%;7%;20%
Andrea Pérez;22;Ventas;10%;24%;18%;10%
Andrea Gómez;51;Marketing;14%;16%;2%;9%
Luis Pérez;63;Marketing;15%;12%;1%;22%
Juan Ramírez;62;Ventas;4%;17%;4%;14%
Laura López;39;Marketing;20%;10%;14%;21%
Valentina Arango;22;Compras;1%;12%;6%;13%
Sebastián Fernández;50;Compras;11%;18%;10%;15%
Valentina Pérez;61;Logística;7%;19%;23%;4%
Camila López;62;Finanzas;14%;3%;11%;21%
Pedro Rodríguez;45;Producción;11%;17%;10%;13%
Valentina Torres;31;Logística;5%;18%;18%;6%
Camila Ramírez;28;Sistemas;19%;17%;23%;11%
Pedro Ramírez;20;Compras;15%;23%;14%;20%
Valentina Rodríguez;46;Finanzas;20%;4%;14%;3%
Mariana Gómez;44;Logística;17%;25%;19%;14%
Carlos Fernández;54;Compras;22%;2%;9%;17%
Camila Ramírez;44;Compras;2%;13%;12%;4%
Laura Ramírez;35;Producción;6%;24%;8%;2%
Sebastián Torres;49;Logística;1%;15%;23%;18%
Carlos Pérez;59;Ventas;10%;2%;3%;7%
Sebastián Gómez;62;Finanzas;12%;24%;20%;6%
Carlos Fernández;30;Ventas;20%;11%;17%;15%
Carlos Gómez;48;Producción;17%;6%;9%;17%
Mariana Sánchez;58;Marketing;24%;6%;2%;12%
Laura Ramírez;54;Recursos Humanos;5%;8%;18%;11%
Laura Arango;59;Producción;6%;25%;17%;9%
Valentina López;41;Logística;8%;24%;12%;8%
Valentina Torres;63;Ventas;20%;1%;21%;21%
Camila Torres;55;Logística;15%;8%;23%;24%
Andrea Martínez;23;Producción;19%;22%;6%;1%
Carlos Ramírez;53;Marketing;1%;23%;9%;4%
Pedro Fernández;57;Finanzas;12%;12%;24%;25%
Pedro Ramírez;63;Finanzas;4%;9%;18%;13%
Camila Rodríguez;63;Marketing;5%;3%;15%;1%
Carlos Arango;36;Compras;21%;10%;18%;12%
Pedro Rodríguez;34;Compras;11%;20%;13%;11%
Valentina Sánchez;48;Compras;20%;18%;16%;25%
Luis Torres;56;Marketing;23%;1%;25%;8%
Carlos Torres;20;Recursos Humanos;10%;8%;16%;8%
Mariana Sánchez;63;Finanzas;18%;19%;7%;24%
Carlos Fernández;22;Sistemas;3%;24%;1%;22%
Pedro Gómez;36;Producción;19%;1%;18%;10%
Andrea Martínez;47;Producción;5%;15%;4%;4%
Andrea López;39;Logística;2%;18%;21%;24%
Camila Sánchez;18;Ventas;10%;11%;1%;8%
Valentina Arango;30;Compras;17%;3%;11%;10%
Pedro Gómez;28;Finanzas;19%;20%;19%;10%
Sebastián Rodríguez;62;Compras;10%;15%;13%;15%
Pedro Fernández;39;Compras;21%;25%;16%;20%
Carlos Torres;30;Recursos Humanos;24%;12%;22%;22%
Andrea Ramírez;40;Logística;5%;2%;3%;11%
Sebastián Torres;62;Logística;8%;20%;17%;13%
Mariana López;30;Ventas;5%;3%;2%;4%
Camila Fernández;57;Recursos Humanos;6%;23%;23%;15%
Mariana Fernández;51;Recursos Humanos;6%;9%;11%;8%
Carlos Torres;22;Compras;11%;9%;6%;19%
Valentina Sánchez;63;Compras;10%;14%;13%;10%
Pedro Pérez;60;Logística;15%;21%;19%;22%
Sebastián Arango;28;Sistemas;24%;5%;10%;8%
Andrea Fernández;51;Recursos Humanos;21%;12%;4%;7%
Andrea Fernández;39;Logística;8%;1%;21%;17%
Laura Torres;24;Sistemas;11%;4%;15%;2%
Luis Gómez;52;Recursos Humanos;18%;4%;4%;13%
Valentina Sánchez;52;Compras;6%;22%;2%;25%
Carlos López;65;Recursos Humanos;9%;7%;5%;21%
Luis Gómez;51;Recursos Humanos;7%;24%;15%;4%
Mariana Fernández;61;Compras;15%;3%;24%;17%
Juan Sánchez;27;Finanzas;2%;9%;13%;12%
Valentina Martínez;38;Ventas;6%;21%;10%;25%
Camila Gómez;56;Compras;8%;24%;19%;16%
Laura Gómez;43;Recursos Humanos;1%;17%;12%;16%
Carlos Torres;21;Marketing;20%;8%;15%;8%
Laura López;42;Sistemas;7%;22%;14%;3%
Mariana Torres;63;Logística;7%;11%;8%;13%
Sebastián López;43;Ventas;6%;7%;25%;23%
Laura Fernández;47;Finanzas;5%;5%;6%;20%
Juan Torres;27;Finanzas;9%;19%;7%;17%
Andrea Ramírez;35;Compras;8%;21%;9%;14%
Juan Martínez;59;Finanzas;23%;17%;12%;21%
Laura Ramírez;56;Producción;25%;22%;24%;14%
Valentina Gómez;24;Sistemas;13%;2%;16%;15%
Laura Fernández;48;Compras;5%;13%;10%;16%
Juan Arango;56;Marketing;23%;13%;22%;21%
Andrea Sánchez;20;Logística;23%;2%;8%;2%
Laura López;29;Ventas;14%;7%;8%;20%
Carlos Ramírez;57;Producción;19%;10%;8%;20%
Sebastián Ramírez;18;Sistemas;19%;2%;5%;24%
Juan Arango;54;Producción;25%;19%;21%;12%
Luis Fernández;58;Marketing;16%;3%;15%;9%
Valentina Sánchez;50;Compras;9%;4%;16%;12%
Juan Fernández;49;Ventas;21%;21%;20%;13%
Pedro Torres;38;Compras;11%;16%;5%;24%
Pedro Gómez;39;Sistemas;6%;11%;11%;23%
Laura Sánchez;26;Finanzas;11%;16%;25%;25%
Luis Gómez;49;Sistemas;12%;8%;14%;15%
Camila Torres;49;Marketing;23%;21%;5%;24%
Mariana Fernández;32;Sistemas;3%;22%;2%;2%
Pedro Fernández;37;Producción;1%;16%;11%;5%
Sebastián Rodríguez;20;Logística;22%;18%;6%;16%
Juan Gómez;59;Sistemas;12%;13%;3%;6%
Juan López;52;Logística;24%;19%;14%;2%
Laura Fernández;45;Ventas;6%;2%;16%;2%
Laura Martínez;60;Marketing;8%;3%;7%;1%
Valentina Rodríguez;44;Sistemas;21%;9%;12%;21%
Pedro Torres;39;Producción;6%;24%;19%;22%
Carlos López;43;Sistemas;17%;8%;12%;23%
Luis Arango;57;Marketing;16%;4%;7%;9%
Sebastián López;42;Marketing;18%;5%;21%;8%
Camila Gómez;53;Sistemas;8%;4%;11%;25%
Valentina Ramírez;18;Finanzas;13%;23%;8%;22%
Pedro Torres;60;Recursos Humanos;21%;3%;6%;5%
Camila Gómez;48;Compras;22%;22%;25%;5%
Valentina Arango;62;Recursos Humanos;22%;3%;12%;3%
Laura Arango;29;Compras;6%;21%;5%;25%
Juan Fernández;43;Ventas;22%;3%;20%;19%
Luis Torres;41;Marketing;4%;4%;4%;10%
Carlos Gómez;60;Finanzas;4%;23%;21%;12%
Pedro Arango;21;Compras;23%;7%;24%;11%
Laura Sánchez;55;Ventas;10%;5%;16%;1%
Valentina Torres;54;Marketing;25%;21%;16%;16%
Carlos Torres;61;Recursos Humanos;1%;2%;7%;3%
Sebastián Fernández;41;Logística;6%;10%;18%;18%
Pedro Sánchez;46;Sistemas;16%;24%;13%;15%
Luis Rodríguez;61;Recursos Humanos;17%;23%;14%;5%
Valentina Arango;41;Producción;13%;7%;23%;24%
Luis Ramírez;55;Finanzas;4%;12%;7%;6%
Juan Fernández;22;Compras;4%;5%;11%;4%
Camila Martínez;32;Compras;1%;13%;12%;20%
Luis Martínez;31;Compras;7%;24%;22%;2%
Juan Gómez;47;Sistemas;15%;17%;13%;22%
Camila Arango;33;Compras;8%;24%;5%;8%
Pedro Arango;40;Finanzas;1%;24%;20%;10%
Pedro Martínez;18;Producción;4%;17%;7%;17%
Mariana Fernández;57;Sistemas;19%;1%;3%;1%
Sebastián Torres;53;Finanzas;9%;25%;23%;4%
Sebastián Torres;29;Ventas;15%;6%;14%;11%
Juan Torres;43;Marketing;19%;24%;10%;19%
Andrea Fernández;51;Sistemas;10%;24%;12%;11%
Valentina Ramírez;49;Sistemas;13%;23%;1%;5%
Carlos Fernández;49;Recursos Humanos;23%;6%;23%;10%
Sebastián Fernández;18;Sistemas;5%;14%;22%;5%
Valentina Ramírez;59;Producción;8%;24%;8%;23%
Camila Ramírez;42;Recursos Humanos;6%;24%;22%;4%
Juan Arango;42;Logística;11%;13%;6%;18%
Camila Torres;62;Logística;4%;24%;14%;7%
Laura Ramírez;51;Logística;24%;6%;9%;17%
Juan Fernández;21;Marketing;18%;19%;12%;22%
Pedro Ramírez;26;Sistemas;24%;15%;22%;22%
Valentina Gómez;42;Finanzas;2%;13%;7%;20%
Luis Gómez;55;Producción;14%;1%;16%;9%
Juan Sánchez;45;Marketing;14%;12%;20%;16%
Luis Rodríguez;22;Compras;24%;11%;25%;5%
Juan Pérez;31;Ventas;13%;17%;6%;17%
Sebastián Arango;44;Producción;14%;13%;7%;9%
Valentina Gómez;18;Recursos Humanos;19%;24%;16%;21%
Sebastián Pérez;62;Ventas;23%;3%;14%;20%
Luis Torres;47;Recursos Humanos;25%;3%;10%;13%
Carlos Pérez;37;Marketing;20%;14%;22%;16%
Camila Pérez;36;Ventas;7%;4%;24%;25%
Valentina Sánchez;35;Finanzas;20%;18%;4%;22%
Carlos Arango;28;Compras;6%;14%;2%;2%
Laura Sánchez;56;Marketing;4%;9%;17%;1%
Sebastián López;57;Finanzas;14%;22%;5%;18%
Luis Pérez;31;Logística;22%;16%;4%;2%
Luis Arango;40;Marketing;1%;14%;14%;18%
Sebastián Ramírez;62;Recursos Humanos;10%;20%;12%;11%
Pedro Gómez;29;Compras;7%;6%;24%;22%
Valentina Ramírez;19;Producción;12%;6%;10%;10%
Pedro Arango;29;Producción;2%;23%;3%;19%
Camila Pérez;48;Recursos Humanos;16%;2%;21%;19%
Carlos Torres;30;Sistemas;6%;7%;8%;7%
Pedro Rodríguez;54;Logística;1%;8%;17%;10%
Sebastián Arango;19;Marketing;15%;8%;22%;3%
Laura Arango;27;Ventas;12%;18%;15%;7%
Camila Torres;62;Finanzas;2%;3%;7%;19%
Sebastián López;44;Producción;11%;12%;21%;17%
Sebastián Ramírez;47;Sistemas;2%;10%;3%;25%
Carlos Pérez;51;Recursos Humanos;2%;16%;16%;8%
Carlos Torres;36;Producción;13%;23%;16%;9%
Sebastián Torres;58;Compras;4%;4%;7%;13%
Sebastián Arango;59;Sistemas;25%;5%;13%;10%
Valentina Gómez;28;Marketing;3%;8%;3%;7%
Camila López;20;Producción;5%;2%;1%;8%
Laura Gómez;65;Compras;22%;16%;2%;24%
Camila Rodríguez;61;Compras;20%;21%;9%;13%
Luis López;64;Producción;1%;24%;5%;5%
Laura Pérez;38;Recursos Humanos;18%;11%;15%;14%
Pedro Torres;33;Sistemas;21%;6%;10%;22%
Sebastián Rodríguez;32;Finanzas;17%;2%;4%;3%
Valentina Torres;31;Finanzas;4%;8%;17%;12%
Valentina Sánchez;57;Ventas;24%;8%;7%;11%
Laura Ramírez;20;Ventas;2%;23%;18%;18%
Laura Fernández;51;Compras;14%;5%;18%;4%
Sebastián Ramírez;23;Logística;3%;12%;14%;10%
Camila Pérez;39;Finanzas;8%;19%;6%;8%
Juan Gómez;34;Logística;4%;2%;24%;12%
Laura Ramírez;48;Producción;12%;10%;2%;4%
Andrea Pérez;53;Ventas;18%;5%;4%;17%
Juan Pérez;53;Compras;24%;20%;4%;7%
Pedro Torres;40;Producción;4%;20%;11%;5%
Sebastián Martínez;34;Finanzas;8%;15%;16%;5%
Juan Fernández;65;Producción;25%;22%;25%;4%
Valentina López;25;Compras;4%;23%;21%;24%
Valentina Gómez;44;Finanzas;22%;1%;25%;11%
Andrea Arango;62;Producción;11%;3%;7%;9%
Andrea Fernández;58;Sistemas;16%;25%;14%;5%
Camila Sánchez;62;Finanzas;10%;18%;25%;4%
Valentina Torres;19;Ventas;7%;16%;11%;23%
Sebastián Pérez;63;Producción;1%;24%;19%;9%
Valentina Rodríguez;43;Logística;13%;12%;19%;13%
Juan Pérez;41;Producción;1%;22%;17%;4%
Mariana Torres;61;Logística;24%;24%;24%;5%
Pedro Ramírez;48;Producción;21%;11%;21%;11%
Laura Sánchez;65;Recursos Humanos;3%;11%;23%;3%
Laura Pérez;47;Recursos Humanos;9%;15%;4%;15%
Valentina Ramírez;54;Recursos Humanos;25%;2%;20%;1%
Carlos Fernández;25;Marketing;4%;19%;18%;21%
Carlos Rodríguez;40;Marketing;15%;7%;6%;12%
Valentina Gómez;39;Compras;5%;19%;9%;18%
Camila Gómez;58;Compras;12%;5%;2%;17%
Camila Gómez;58;Finanzas;10%;25%;16%;24%
Laura Ramírez;44;Recursos Humanos;21%;5%;10%;16%
Valentina Gómez;49;Logística;21%;18%;16%;21%
Sebastián Arango;63;Sistemas;9%;2%;24%;15%
Mariana Pérez;49;Ventas;2%;9%;4%;4%
Luis Sánchez;65;Recursos Humanos;22%;13%;15%;3%
Sebastián Ramírez;25;Logística;25%;7%;21%;1%
Valentina Sánchez;61;Ventas;14%;23%;22%;22%
Laura Gómez;50;Marketing;20%;17%;7%;9%
Pedro Arango;59;Sistemas;1%;16%;1%;1%
Pedro Fernández;50;Sistemas;23%;21%;23%;11%
Pedro Pérez;30;Producción;12%;10%;25%;1%
Valentina Arango;57;Marketing;11%;8%;23%;1%
Juan Sánchez;41;Ventas;16%;14%;7%;16%
Camila Sánchez;18;Recursos Humanos;13%;5%;16%;23%
Juan Sánchez;61;Producción;19%;13%;2%;18%
Carlos Pérez;29;Producción;4%;16%;21%;4%
Pedro Martínez;39;Logística;20%;1%;5%;3%
Laura Sánchez;55;Finanzas;7%;4%;25%;11%
Camila Fernández;34;Logística;18%;22%;6%;2%
Andrea Arango;49;Producción;8%;2%;1%;10%
Valentina Martínez;32;Producción;1%;21%;14%;5%
Sebastián Gómez;36;Recursos Humanos;12%;4%;12%;12%
Mariana Pérez;38;Logística;14%;2%;20%;20%
Andrea Martínez;48;Producción;8%;17%;16%;10%
Carlos Arango;21;Sistemas;9%;19%;9%;8%
Luis Rodríguez;20;Ventas;14%;5%;4%;17%
Luis Gómez;40;Sistemas;17%;5%;20%;10%
Sebastián Martínez;32;Logística;24%;9%;23%;16%
Pedro Gómez;33;Recursos Humanos;3%;13%;10%;25%
Camila Ramírez;21;Logística;8%;10%;13%;12%
Camila Martínez;45;Recursos Humanos;8%;12%;10%;1%
Valentina Rodríguez;47;Compras;21%;7%;17%;21%
Luis Ramírez;36;Compras;22%;4%;1%;12%
Sebastián Torres;36;Compras;23%;21%;1%;21%
Luis Torres;50;Sistemas;6%;12%;11%;21%
Pedro López;30;Logística;2%;22%;23%;23%
Luis Ramírez;42;Logística;21%;11%;12%;1%
Valentina Torres;25;Ventas;2%;1%;1%;24%
Laura López;61;Recursos Humanos;9%;3%;23%;14%
Laura Ramírez;20;Recursos Humanos;16%;3%;5%;14%
Carlos Torres;35;Ventas;13%;6%;24%;24%
Juan Gómez;21;Recursos Humanos;23%;13%;13%;23%
Mariana López;25;Finanzas;20%;7%;2%;24%
Sebastián Sánchez;30;Compras;17%;10%;6%;1%
Carlos Gómez;27;Producción;20%;6%;7%;14%
Valentina Torres;58;Logística;4%;24%;12%;14%
Mariana Sánchez;40;Finanzas;13%;18%;19%;3%
Andrea Pérez;55;Marketing;6%;17%;22%;25%
Valentina López;61;Compras;11%;12%;4%;11%
Camila López;35;Ventas;7%;21%;22%;14%
Luis López;62;Sistemas;21%;21%;15%;3%
Camila Ramírez;21;Producción;11%;21%;4%;3%
Andrea Pérez;52;Marketing;17%;10%;8%;1%
Luis Torres;21;Recursos Humanos;21%;20%;4%;10%
Valentina Sánchez;45;Producción;8%;18%;22%;18%
Sebastián Rodríguez;24;Producción;16%;20%;16%;10%
Sebastián Sánchez;39;Logística;14%;9%;9%;12%
Juan Martínez;52;Ventas;16%;9%;7%;2%
Pedro Fernández;22;Marketing;7%;1%;12%;16%
Pedro Gómez;45;Producción;22%;6%;25%;9%
Laura Fernández;32;Recursos Humanos;22%;12%;16%;4%
Pedro Torres;48;Finanzas;12%;2%;10%;21%
Carlos Martínez;33;Compras;2%;12%;2%;14%
Pedro Pérez;60;Logística;23%;10%;15%;3%
Pedro Torres;35;Finanzas;4%;4%;14%;9%
Luis Pérez;58;Compras;23%;15%;4%;25%
Pedro Torres;32;Finanzas;24%;24%;18%;10%
Camila Arango;35;Recursos Humanos;19%;7%;5%;9%
Mariana Arango;26;Ventas;17%;9%;6%;10%
Sebastián Ramírez;33;Recursos Humanos;16%;14%;10%;2%
Mariana Sánchez;22;Marketing;20%;24%;20%;19%
Laura Martínez;58;Finanzas;9%;4%;15%;20%
Luis Martínez;55;Producción;3%;7%;25%;25%
Mariana Martínez;27;Finanzas;13%;11%;19%;1%
Mariana Arango;38;Recursos Humanos;8%;21%;21%;11%
Mariana Arango;60;Compras;24%;21%;22%;25%
